iter	RMSE
0	0.9874999135
1	0.983403678
22	0.955729759733	0.941611705344	0.9291162695	5	0.9162067836	6	0.90330802977	0.917393907988	0.906900352799	0.8982720294110	0.88867592691111	0.8484302141112	0.8387277751113	0.8287463341414	0.8178513311515	0.8080589911616	0.7972222711717	0.7892947511818	0.7818867411919	0.774111723220	0.7651350726221	0.7568776711222	0.7492299241223	0.7425137222424	0.73570250725	0.7894867563
26	0.783494
27	0.7769069918
28	0.728	0.7106329	0.729	0.7041930	0.730	0.6982348286
31	0.6927388463
32	0.6872878001
33	0.6809650712
34	0.6748349235	35	0.6701328054
36	0.6657294418
37	0.6601221122
38	0.6543673193
39	0.6498843253
40	0.6453322985
41	0.6412342338
42	0.6361384215
43	0.6313460295
44	0.6271641361
45	0.6236766751
46	0.6188795245
47	0.6152999293
48	0.6126107328
49	0.6103813119
50	0.606588701
51	0.6044134474
52	0.6010944264
53	0.5985927785
54	0.5953274729
55	0.5927302386
56	0.5900981589
57	0.5877647024
58	0.5845721466
59	0.5820116965
60	0.5791414511
61	0.5772859578
62	0.5747336593
63	0.5719747971
64	0.5696673544
65	0.5671928085
66	0.5661609743
67	0.5640743077
68	0.56212523
69	0.5596867196
70	0.5577384465
71	0.5556192794
72	0.5530969523
73	0.5515047341
74	0.549635366
75	0.5482535863
76	0.5465281652
77	0.5451185568
78	0.5435660267
79	0.5424421832
80	0.5407464286
81	0.5397528165
82	0.5377743038
83	0.5356555709
84	0.534014221
85	0.532641836
86	0.5308331957
87	0.5304790347
88	0.5291433983
89	0.527875903
90	0.5269997878
91	0.5253954686
92	0.5243571537
93	0.5227108229
94	0.5212660126
95	0.5204107644
96	0.5195627159
97	0.5182085915
98	0.5171215031
99	0.516104943
100	0.5148126373
101	0.5141476219
102	0.5131162191
103	0.5122461856
104	0.5112229936
105	0.5103524389
106	0.5091956376
107	0.5088517855
108	0.5079204958
109	0.5070630311
110	0.5063440467
111	0.505299879
112	0.5037362669
113	0.5025736944
114	0.5022360941
115	0.5008363504
116	0.4998533743
117	0.4991105007
118	0.4984689309
119	0.4979180445
120	0.4971298563
121	0.4962579936
122	0.4954938994
